id,video_id,classificacao_desc,classificacao_score,created_date,observacoes_ia,nivel_tecnico,intencao_principal,intencao_secundaria,linguagem
04f5ced5-32da-493a-8403-e1c3a7f4e9cd,3QCsmmCpr2g,clickbait,0.95,2025-06-21 19:57:31.905027+00,"Título e descrição têm tom sensacionalista e foco em entretenimento, pouco conteúdo técnico ou informativo sobre IA real.",0.1,entretenimento,nenhuma,sensacionalista
06892989-2a1d-48af-ab29-93f5f9b7e498,vH6f_Nctri0,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo curto, com linguagem simples focada em motivar o uso do app, sem aprofundar em aspectos técnicos ou teóricos.",0.1,motivacional,comercial,neutra
0729c672-962d-4701-86a9-580a39bcae4f,66le3H7yI1Q,híbrido,0.90,2025-06-21 19:57:31.905027+00,"Análise detalhada com dados e entrevistas, mas sem aprofundar excessivamente em aspectos técnicos complexos da IA.",0.75,informativo,educacional,neutra
0866b038-b169-42b6-8364-eec3f1b8be40,u4sO9ch0dfk,superficial,0.95,2025-06-21 19:57:31.905027+00,"Vídeo focado em diversão com IA na cozinha, pouco conteúdo técnico e linguagem chamativa para engajamento.",0.15,entretenimento,motivacional,sensacionalista
0b678c45-e297-40ba-b4a4-f56792aeddc8,n4Z5c3_JFoc,híbrido,0.92,2025-06-21 19:57:31.905027+00,"Análise crítica das consequências sociais da IA com conteúdo técnico e forte apelo comercial, mesclando reflexão e promoção.",0.75,opinativo,comercial,neutra
0b98c3d3-c430-4ebd-932a-f713fcc60206,zpbWMjfh9x8,clickbait,0.90,2025-06-21 19:57:31.905027+00,"Título e descrição enfatizam ganhos rápidos e fáceis, uso de linguagem exagerada típica de clickbait.",0.25,comercial,educacional,sensacionalista
0e2c1a9b-0a7d-41d6-a37f-7cda66fa1b77,ufx0dGArkt0,conteúdo técnico,0.95,2025-06-21 19:57:31.905027+00,"Tutorial detalhado para desenvolvedores Java, explicando integração técnica com OpenAI e conceitos de prompting em Spring AI.",0.9,educacional,informativo,neutra
0f07efda-dcb7-448e-b881-f141c7435549,LbeKYun0zZc,conteúdo técnico,0.90,2025-06-21 19:57:31.905027+00,"Vídeo aborda IA e aprendizado de máquina com professor, conteúdo aprofundado e educativo, com intenção comercial secundária no cupom e produtos.",0.85,educacional,comercial,neutra
102ecb0d-f37f-43b5-9b56-c0cd2867f6e3,UC6eLLC6Xe4,clickbait,0.90,2025-06-21 19:57:31.905027+00,"Título sensacionalista com pouca relação técnica, foco em atrair visualizações por curiosidade e entretenimento.",0.1,entretenimento,nenhuma,sensacionalista
1d2d0094-014c-49dc-b7c7-6140fdf96ed9,wIQpNgx21tY,clickbait,0.90,2025-06-21 19:57:31.905027+00,"Conteúdo usa termo AI malicioso para discurso político, baixa profundidade técnica e apelo emotivo sensacionalista.",0.15,politico/ideológico,nenhuma,sensacionalista
